theme,url,img,lines,author
INNOVATION,/inspirational-quotes/8197-creativity-is-thinking-up-new-things,https://assets.passiton.com/quotes/quote_artwork/8197/medium/20210319_friday_quote.jpg?1615507686,Creativity is thinking up new things. Innovation is doing new things.,<Author:0x0000557555bd14e0>
INNOVATION,/inspirational-quotes/7823-innovation-is-taking-two-things-that-already,https://assets.passiton.com/quotes/quote_artwork/7823/medium/20210318_thursday_quote.jpg?1615507664,Innovation is taking two things that already exist and putting them together in a new way.,<Author:0x0000557555e378d8>
INNOVATION,/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20210317_wednesday_quote.jpg?1615507634,Innovation is the ability to see change as an opportunity – not a threat.,<Author:0x00005575560548a0>
INNOVATION,/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/7826/medium/20210316_tuesday_quote.jpg?1615507606,The world needs dreamers and the world needs doers. But above all what the world needs most are dreamers that do.,<Author:0x00005575577f18c8>
INNOVATION,/inspirational-quotes/7824-what-good-is-an-idea-if-it-remains-an-idea,https://assets.passiton.com/quotes/quote_artwork/7824/medium/20210315_monday_quote.jpg?1615507581,What good is an idea if it remains an idea? Try. Experiment. Iterate. Fail. Try again. Change the world.,<Author:0x00005575578dcd50>
DETERMINATION,/inspirational-quotes/7031-nobody-grows-old-by-merely-living-a-number-of,https://assets.passiton.com/quotes/quote_artwork/7031/medium/20210312_friday_quote.jpg?1614900784,"Nobody grows old by merely living a number of years. People grow old by deserting their ideals. Years may wrinkle the skin, but to give up wrinkles the soul.",<Author:0x00005575579af818>
DETERMINATION,/inspirational-quotes/3926-fall-seven-times-stand-up-eight,https://assets.passiton.com/quotes/quote_artwork/3926/medium/20210311_thursday_quote.jpg?1614900744,"Fall seven times, stand up eight.",<Author:0x0000557557a96330>
DETERMINATION,/inspirational-quotes/8195-some-succeed-because-they-are-destined-to-but,https://assets.passiton.com/quotes/quote_artwork/8195/medium/20210310_wednesday_quote.jpg?1614900721,"Some succeed because they are destined to, but most succeed because they are determined to.",<Author:0x0000557557cfc570>
DETERMINATION,/inspirational-quotes/6714-if-you-have-made-mistakes-even-serious-ones,https://assets.passiton.com/quotes/quote_artwork/6714/medium/20210309_tuesday_quote.jpg?1614900696,"If you have made mistakes, even serious ones, there is always another chance for you.  What we call failure is not the falling down, but the staying down.",<Author:0x0000557557eb26f8>
DETERMINATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,https://assets.passiton.com/quotes/quote_artwork/4218/medium/20210308_monday_quote.jpg?1614900669,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",<Author:0x0000557558096d20>
FRIENDSHIP,/inspirational-quotes/8194-friendship-is-a-strong-and-habitual-inclination,https://assets.passiton.com/quotes/quote_artwork/8194/medium/20210305_friday_quote.jpg?1614384615,Friendship is a strong and habitual inclination in two persons to promote the good and happiness of one another.,<Author:0x00005575581869d8>
FRIENDSHIP,/inspirational-quotes/7438-the-most-beautiful-discovery-true-friends-make,https://assets.passiton.com/quotes/quote_artwork/7438/medium/20210304_thursday_quote.jpg?1614384591,The most beautiful discovery true friends make is that they can grow separately without growing apart.,<Author:0x00005575582f03f0>
FRIENDSHIP,/inspirational-quotes/8193-friends-are-the-family-you-choose,https://assets.passiton.com/quotes/quote_artwork/8193/medium/20210303_wednesday_quote.jpg?1614384566,Friends are the family you choose.,<Author:0x0000557558405bc8>
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20210302_tuesday_quote.jpg?1614384547,Anything is possible when you have the right people there to support you.,<Author:0x0000557558485ff8>
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20210301_monday_quote.jpg?1614384524,Friends are medicine for a wounded heart and vitamins for a hopeful soul.,<Author:0x0000557557b7dfc8>
LIVE LIFE,/inspirational-quotes/7384-find-life-experiences-and-swallow-them-whole,https://assets.passiton.com/quotes/quote_artwork/7384/medium/20210226_friday_quote.jpg?1613752730,Find life experiences and swallow them whole. Travel. Meet many people. Exhaust yourself in the glorious pursuit of life.,<Author:0x000055755856b990>
LIVE LIFE,/inspirational-quotes/4250-do-not-let-making-a-living-prevent-you-from,https://assets.passiton.com/quotes/quote_artwork/4250/medium/20210225_thursday_quote.jpg?1613752695,Do not let making a living prevent you from making a life.,<Author:0x0000557558592a40>
LIVE LIFE,/inspirational-quotes/6746-you-have-brains-in-your-head-you-have-feet-in,https://assets.passiton.com/quotes/quote_artwork/6746/medium/20210224_wednesday_quote.jpg?1613752671,You have brains in your head. You have feet in your shoes. You can steer yourself in any direction you choose. You're on your own. And you know what you know. You are the one who'll decide where to go. ,<Author:0x00005575585b8880>
LIVE LIFE,/inspirational-quotes/6525-the-person-who-has-lived-the-most-is-not-the,https://assets.passiton.com/quotes/quote_artwork/6525/medium/20210223_tuesday_quote.jpg?1613752634,"The person who has lived the most is not the one with the most years, but the one with the richest experiences.",<Author:0x00005575585d82e8>
LIVE LIFE,/inspirational-quotes/8191-life-itself-is-a-privilege-but-to-live-life-to,https://assets.passiton.com/quotes/quote_artwork/8191/medium/20210222_monday_quote.jpg?1613752607,"Life itself is a privilege. But to live life to the fullest- well, that is a choice.",<Author:0x00005575585ffd20>
LOVE,/inspirational-quotes/7593-your-circumstance-doesn-t-make-life,https://assets.passiton.com/quotes/quote_artwork/7593/medium/20210219_friday_quote.jpg?1613084230,Your circumstance doesn’t make life extraordinary. Love does.,<Author:0x00005575588ec560>
LOVE,/inspirational-quotes/6952-and-still-after-all-this-time-the-sun-has,https://assets.passiton.com/quotes/quote_artwork/6952/medium/20210218_thursday_quote.jpg?1613084201,"And still, after all this time, the Sun has never said to the Earth,‘You owe me.’ Look what happens with love like that. It lights up the sky.",<Author:0x000055755890ba50>
LOVE,/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20210217_wednesday_quote.jpg?1613084162,"You yourself, as much as anybody in the entire universe deserve your love and affection.",<Author:0x0000557558920248>
LOVE,/inspirational-quotes/8190-the-best-thing-to-hold-onto-in-life-is-each-other,https://assets.passiton.com/quotes/quote_artwork/8190/medium/20210216_tuesday_quote.jpg?1613084126,The best thing to hold onto in life is each other.,<Author:0x000055755894c320>
LOVE,/inspirational-quotes/6900-let-us-see-what-love-can-do,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20210215_monday_quote.jpg?1613084103,Let us see what love can do.,<Author:0x0000557558973240>
CONFIDENCE,/inspirational-quotes/8189-believing-that-the-dots-will-connect-down-the,https://assets.passiton.com/quotes/quote_artwork/8189/medium/20200212_friday_quote.jpg?1612472860,Believing that the dots will connect down the road will give you the confidence to follow your heart.,<Author:0x000055755898df00>
CONFIDENCE,/inspirational-quotes/7403-as-is-our-confidence-so-is-our-capacity,https://assets.passiton.com/quotes/quote_artwork/7403/medium/20200211_thursday_quote.jpg?1612472845,"As is our confidence, so is our capacity.",<Author:0x00005575589a4d18>
CONFIDENCE,/inspirational-quotes/8188-what-lies-behind-you-and-what-lies-in-front-of,https://assets.passiton.com/quotes/quote_artwork/8188/medium/20200210_wednesday_quote.jpg?1612472831,What lies behind you and what lies in front of you pales in comparison to what lies inside you. ,<Author:0x00005575589babe0>
CONFIDENCE,/inspirational-quotes/8187-live-from-the-heart-of-yourself-seek-to-be,https://assets.passiton.com/quotes/quote_artwork/8187/medium/20200209_tuesday_quote.jpg?1612472818,"Live from the heart of yourself. Seek to be whole, not perfect.",<Author:0x00005575589c9370>
CONFIDENCE,/inspirational-quotes/8186-personality-begins-where-comparison-leaves-off,https://assets.passiton.com/quotes/quote_artwork/8186/medium/20200208_monday_quote.jpg?1612472804,Personality begins where comparison leaves off. Be unique. Be memorable. Be confident. Be proud.,<Author:0x00005575589e0f20>
BRAVERY,/inspirational-quotes/8185-bravery-shows-up-in-everyday-life-when-people,https://assets.passiton.com/quotes/quote_artwork/8185/medium/20210205_friday_quote.jpg?1611954012,"Bravery shows up in everyday life when people have the courage to live their truth, their vision and their dreams.",<Author:0x00005575589f84e0>
BRAVERY,/inspirational-quotes/8184-only-when-were-brave-enough-to-explore-the,https://assets.passiton.com/quotes/quote_artwork/8184/medium/20210204_thursday_quote.jpg?1611953982,Only when we're brave enough to explore the darkness will we discover the infinite power of our light.,<Author:0x0000557558a12390>
